,OffenseTeam,DefenseTeam,Down,ToGo,Formation,PlayType,DefensePassRank,DefenseRunRank
1,LV,MIA,3,19,SHOTGUN,0,25,16
4,MIN,NO,1,1,UNDER CENTER,0,5,5
5,TB,DET,2,6,NO HUDDLE SHOTGUN,1,32,14
6,TB,DET,1,10,NO HUDDLE SHOTGUN,1,32,14
7,ARI,SF,1,10,NO HUDDLE SHOTGUN,1,7,7
10,DEN,LAC,2,16,SHOTGUN,0,14,20
11,DEN,LAC,3,10,SHOTGUN,1,14,20
13,MIA,LV,2,8,SHOTGUN,1,27,23
14,LV,MIA,2,8,UNDER CENTER,1,25,16
15,MIA,LV,1,10,SHOTGUN,1,27,23
17,NYJ,CLE,2,1,UNDER CENTER,0,18,12
18,NYJ,CLE,1,10,UNDER CENTER,1,18,12
19,NYJ,CLE,1,10,SHOTGUN,1,18,12
20,NYJ,CLE,2,10,SHOTGUN,0,18,12
21,NYJ,CLE,3,11,SHOTGUN,1,18,12
22,CLE,NYJ,1,10,NO HUDDLE SHOTGUN,1,23,6
23,CLE,NYJ,2,2,NO HUDDLE SHOTGUN,1,23,6
25,CLE,NYJ,3,2,UNDER CENTER,0,23,6
26,CLE,NYJ,1,10,NO HUDDLE SHOTGUN,1,23,6
28,BAL,NYG,1,10,SHOTGUN,1,11,9
30,BAL,NYG,3,4,SHOTGUN,0,11,9
31,BAL,NYG,2,10,SHOTGUN,1,11,9
32,BAL,NYG,3,3,SHOTGUN,0,11,9
33,CIN,HOU,1,10,UNDER CENTER,0,28,31
34,CIN,HOU,2,9,SHOTGUN,1,28,31
35,CIN,HOU,3,1,SHOTGUN,0,28,31
36,CIN,HOU,1,10,UNDER CENTER,1,28,31
37,CIN,HOU,1,10,SHOTGUN,0,28,31
38,CIN,HOU,2,8,SHOTGUN,1,28,31
40,CIN,HOU,1,10,UNDER CENTER,0,28,31
41,CHI,JAX,1,10,SHOTGUN,0,31,27
42,CHI,JAX,2,7,SHOTGUN,1,31,27
43,CHI,JAX,3,5,SHOTGUN,1,31,27
44,CHI,JAX,4,5,SHOTGUN,1,31,27
45,CHI,JAX,1,10,SHOTGUN,0,31,27
46,CHI,JAX,2,10,SHOTGUN,1,31,27
48,CHI,JAX,3,2,SHOTGUN,1,31,27
49,CHI,JAX,1,10,SHOTGUN,0,31,27
50,CHI,JAX,1,10,SHOTGUN,1,31,27
51,CHI,JAX,2,8,SHOTGUN,1,31,27
53,CHI,JAX,1,10,UNDER CENTER,1,31,27
54,CHI,JAX,2,10,UNDER CENTER,0,31,27
55,CHI,JAX,3,7,SHOTGUN,1,31,27
56,IND,PIT,1,10,UNDER CENTER,0,3,13
57,IND,PIT,1,10,SHOTGUN,1,3,13
60,DAL,PHI,1,4,SHOTGUN,0,20,10
61,DAL,PHI,2,3,SHOTGUN,1,20,10
65,WAS,CAR,1,10,NO HUDDLE SHOTGUN,1,12,28
66,WAS,CAR,2,10,SHOTGUN,1,12,28
67,WAS,CAR,3,10,SHOTGUN,1,12,28
68,WAS,CAR,4,3,SHOTGUN,1,12,28
69,WAS,CAR,1,10,NO HUDDLE SHOTGUN,1,12,28
70,WAS,CAR,2,6,NO HUDDLE SHOTGUN,1,12,28
71,WAS,CAR,3,1,NO HUDDLE SHOTGUN,0,12,28
72,WAS,CAR,1,10,NO HUDDLE SHOTGUN,1,12,28
75,SEA,LA,2,12,SHOTGUN,0,1,3
76,SEA,LA,3,9,SHOTGUN,1,1,3
78,LA,SEA,2,7,UNDER CENTER,0,13,4
79,LA,SEA,3,3,SHOTGUN,1,13,4
80,LA,SEA,1,10,UNDER CENTER,0,13,4
81,LA,SEA,2,8,SHOTGUN,1,13,4
82,LA,SEA,1,10,UNDER CENTER,0,13,4
83,LA,SEA,2,5,UNDER CENTER,0,13,4
84,CAR,NO,1,10,SHOTGUN,0,5,5
85,CAR,NO,2,6,UNDER CENTER,1,5,5
90,TEN,GB,1,10,UNDER CENTER,0,9,21
92,CIN,BAL,1,10,SHOTGUN,0,4,26
93,CIN,BAL,2,9,SHOTGUN,1,4,26
96,KC,LAC,2,10,SHOTGUN,1,14,20
97,KC,LAC,1,10,SHOTGUN,1,14,20
98,KC,LAC,2,10,UNDER CENTER,0,14,20
100,KC,LAC,3,7,SHOTGUN,1,14,20
101,CHI,GB,3,1,SHOTGUN,0,9,21
102,CHI,GB,4,1,SHOTGUN,1,9,21
103,CHI,GB,3,6,SHOTGUN,0,9,21
104,CHI,GB,4,1,UNDER CENTER,0,9,21
105,CHI,GB,1,10,UNDER CENTER,0,9,21
106,GB,CHI,2,2,UNDER CENTER,1,17,8
107,GB,CHI,1,10,UNDER CENTER,0,17,8
108,GB,CHI,2,6,SHOTGUN,1,17,8
109,NYJ,NE,3,1,SHOTGUN,1,24,17
110,NYJ,NE,4,1,SHOTGUN,1,24,17
112,NYJ,NE,2,10,SHOTGUN,1,24,17
113,NYJ,NE,1,10,SHOTGUN,1,24,17
114,NYJ,NE,2,10,SHOTGUN,1,24,17
115,PIT,CLE,1,10,SHOTGUN,1,18,12
116,PIT,CLE,2,10,SHOTGUN,1,18,12
117,PIT,CLE,3,10,SHOTGUN,1,18,12
119,NYJ,NE,1,10,SHOTGUN,0,24,17
121,NYJ,NE,2,9,SHOTGUN,1,24,17
122,NE,NYJ,2,5,NO HUDDLE SHOTGUN,1,23,6
123,IND,JAX,3,1,UNDER CENTER,0,31,27
124,IND,JAX,1,10,UNDER CENTER,1,31,27
125,SEA,SF,3,4,SHOTGUN,1,7,7
127,SEA,SF,2,4,UNDER CENTER,1,7,7
129,LV,DEN,3,8,SHOTGUN,1,15,29
130,LV,DEN,2,8,NO HUDDLE,1,15,29
132,DEN,LV,4,1,SHOTGUN,1,27,23
133,DEN,LV,3,5,SHOTGUN,1,27,23
135,DEN,LV,2,5,UNDER CENTER,0,27,23
136,LV,DEN,3,2,SHOTGUN,1,15,29
137,LV,DEN,2,4,SHOTGUN,0,15,29
138,LV,DEN,1,10,UNDER CENTER,0,15,29
140,LV,DEN,2,2,UNDER CENTER,0,15,29
142,DEN,LV,3,8,SHOTGUN,1,27,23
143,DEN,LV,2,8,SHOTGUN,1,27,23
144,DEN,LV,1,10,UNDER CENTER,0,27,23
147,DEN,LV,1,1,UNDER CENTER,1,27,23
149,DEN,LV,2,9,UNDER CENTER,0,27,23
150,DEN,LV,1,8,NO HUDDLE SHOTGUN,0,27,23
151,DEN,LV,2,9,SHOTGUN,1,27,23
152,DEN,LV,1,10,UNDER CENTER,0,27,23
155,LV,DEN,3,15,SHOTGUN,1,15,29
156,LV,DEN,2,17,SHOTGUN,0,15,29
157,LV,DEN,1,17,SHOTGUN,1,15,29
160,DEN,LV,3,4,SHOTGUN,1,27,23
161,DEN,LV,2,9,UNDER CENTER,0,27,23
162,DEN,LV,1,9,UNDER CENTER,1,27,23
163,DEN,LV,1,10,UNDER CENTER,1,27,23
164,DEN,LV,3,2,SHOTGUN,1,27,23
166,DEN,LV,1,10,UNDER CENTER,0,27,23
167,JAX,IND,3,1,UNDER CENTER,0,16,2
169,IND,JAX,2,5,SHOTGUN,0,31,27
170,IND,JAX,1,10,SHOTGUN,0,31,27
172,IND,JAX,3,11,SHOTGUN,1,31,27
173,IND,JAX,2,12,SHOTGUN,1,31,27
174,IND,JAX,1,10,UNDER CENTER,0,31,27
175,JAX,IND,2,1,UNDER CENTER,0,16,2
178,IND,JAX,2,10,SHOTGUN,1,31,27
179,IND,JAX,1,10,SHOTGUN,0,31,27
181,JAX,IND,1,8,UNDER CENTER,1,16,2
182,IND,JAX,3,5,SHOTGUN,0,31,27
183,IND,JAX,2,11,SHOTGUN,0,31,27
184,IND,JAX,1,10,SHOTGUN,0,31,27
187,IND,JAX,2,1,SHOTGUN,1,31,27
189,IND,JAX,1,10,SHOTGUN,1,31,27
193,JAX,IND,1,9,NO HUDDLE SHOTGUN,1,16,2
194,JAX,IND,1,10,SHOTGUN,1,16,2
195,JAX,IND,2,5,NO HUDDLE SHOTGUN,1,16,2
196,JAX,IND,1,10,NO HUDDLE SHOTGUN,1,16,2
197,JAX,IND,2,1,SHOTGUN,1,16,2
200,IND,JAX,3,3,SHOTGUN,0,31,27
201,IND,JAX,2,8,SHOTGUN,0,31,27
202,IND,JAX,1,10,UNDER CENTER,0,31,27
205,SEA,SF,1,10,SHOTGUN,1,7,7
207,SF,SEA,1,3,SHOTGUN,1,13,4
209,SF,SEA,3,2,SHOTGUN,1,13,4
211,SF,SEA,2,2,SHOTGUN,1,13,4
213,SF,SEA,1,10,NO HUDDLE SHOTGUN,1,13,4
214,SF,SEA,1,10,NO HUDDLE SHOTGUN,1,13,4
215,IND,JAX,2,13,SHOTGUN,1,31,27
219,DAL,NYG,3,17,SHOTGUN,1,11,9
221,DAL,NYG,2,17,NO HUDDLE SHOTGUN,1,11,9
224,IND,JAX,3,4,SHOTGUN,1,31,27
225,IND,JAX,2,17,SHOTGUN,1,31,27
227,IND,JAX,1,7,SHOTGUN,0,31,27
229,IND,JAX,3,5,SHOTGUN,1,31,27
230,IND,JAX,2,7,SHOTGUN,0,31,27
232,HOU,TEN,1,10,UNDER CENTER,1,22,18
233,HOU,TEN,1,10,UNDER CENTER,0,22,18
235,TEN,HOU,1,5,UNDER CENTER,0,28,31
236,TEN,HOU,2,10,UNDER CENTER,0,28,31
237,TEN,HOU,1,10,NO HUDDLE,1,28,31
239,HOU,TEN,1,10,UNDER CENTER,1,22,18
242,SF,SEA,3,6,SHOTGUN,1,13,4
243,SF,SEA,2,8,SHOTGUN,1,13,4
244,SF,SEA,1,10,UNDER CENTER,0,13,4
246,SF,SEA,3,8,SHOTGUN,1,13,4
247,SF,SEA,2,12,SHOTGUN,1,13,4
249,SF,SEA,1,10,UNDER CENTER,0,13,4
253,SEA,SF,3,3,SHOTGUN,1,7,7
254,SEA,SF,2,10,SHOTGUN,1,7,7
255,SEA,SF,1,10,SHOTGUN,1,7,7
260,ARI,LA,2,18,SHOTGUN,1,1,3
261,ARI,LA,1,15,SHOTGUN,0,1,3
263,ARI,LA,2,4,NO HUDDLE SHOTGUN,0,1,3
266,ARI,LA,3,19,SHOTGUN,1,1,3
268,ARI,LA,1,7,NO HUDDLE SHOTGUN,0,1,3
269,ARI,LA,2,6,SHOTGUN,1,1,3
270,ARI,LA,1,10,NO HUDDLE SHOTGUN,0,1,3
271,ARI,LA,1,10,SHOTGUN,1,1,3
274,LA,ARI,3,8,SHOTGUN,1,8,25
275,LA,ARI,2,8,SHOTGUN,1,8,25
276,LA,ARI,1,10,SHOTGUN,0,8,25
277,LA,ARI,2,10,SHOTGUN,1,8,25
278,LA,ARI,1,10,NO HUDDLE SHOTGUN,1,8,25
279,LA,ARI,2,1,SHOTGUN,0,8,25
287,TB,ATL,3,1,SHOTGUN,1,29,15
288,TB,ATL,2,7,SHOTGUN,1,29,15
290,TB,ATL,1,10,UNDER CENTER,1,29,15
294,TB,ATL,1,10,UNDER CENTER,1,29,15
296,TB,ATL,3,4,SHOTGUN,1,29,15
297,TB,ATL,2,4,SHOTGUN,1,29,15
298,KC,LAC,2,7,SHOTGUN,1,14,20
299,KC,LAC,1,10,SHOTGUN,0,14,20
300,LAC,KC,2,9,UNDER CENTER,1,19,19
301,LAC,KC,1,10,SHOTGUN,0,19,19
302,KC,LAC,2,11,SHOTGUN,1,14,20
305,LAC,KC,1,10,UNDER CENTER,1,19,19
306,TB,ATL,1,7,UNDER CENTER,0,29,15
309,ATL,TB,4,1,UNDER CENTER,1,6,1
310,ATL,TB,3,3,SHOTGUN,0,6,1
311,ATL,TB,2,4,UNDER CENTER,0,6,1
312,ATL,TB,1,4,UNDER CENTER,1,6,1
314,TB,ATL,2,2,UNDER CENTER,1,29,15
315,TB,ATL,1,10,SHOTGUN,1,29,15
317,LA,ARI,3,9,SHOTGUN,1,8,25
319,LA,ARI,2,9,SHOTGUN,1,8,25
320,LA,ARI,1,10,SHOTGUN,0,8,25
322,LA,ARI,1,10,SHOTGUN,1,8,25
323,LA,ARI,4,2,SHOTGUN,1,8,25
324,LA,ARI,3,5,SHOTGUN,1,8,25
325,LA,ARI,2,10,UNDER CENTER,0,8,25
326,LA,ARI,1,10,SHOTGUN,1,8,25
329,LA,ARI,3,19,UNDER CENTER,0,8,25
330,LA,ARI,2,23,UNDER CENTER,1,8,25
333,LA,ARI,3,11,UNDER CENTER,0,8,25
334,LA,ARI,2,11,UNDER CENTER,1,8,25
336,LA,ARI,1,10,UNDER CENTER,0,8,25
337,LA,ARI,2,10,SHOTGUN,1,8,25
338,LA,ARI,1,10,UNDER CENTER,0,8,25
341,ARI,LA,2,7,UNDER CENTER,1,1,3
343,ARI,LA,1,10,SHOTGUN,0,1,3
345,ATL,TB,3,3,SHOTGUN,1,6,1
346,ATL,TB,2,7,UNDER CENTER,0,6,1
347,ATL,TB,1,7,UNDER CENTER,1,6,1
348,ATL,TB,1,10,UNDER CENTER,0,6,1
349,ATL,TB,1,10,UNDER CENTER,1,6,1
352,ATL,TB,3,10,SHOTGUN,1,6,1
353,ATL,TB,2,10,SHOTGUN,1,6,1
354,ATL,TB,1,10,UNDER CENTER,1,6,1
355,ATL,TB,2,1,SHOTGUN,0,6,1
357,TB,ATL,2,10,SHOTGUN,0,29,15
358,TB,ATL,1,10,SHOTGUN,1,29,15
362,WAS,PHI,3,4,UNDER CENTER,0,20,10
364,WAS,PHI,2,5,UNDER CENTER,0,20,10
366,WAS,PHI,1,10,UNDER CENTER,0,20,10
369,WAS,PHI,3,15,SHOTGUN,1,20,10
370,WAS,PHI,2,15,SHOTGUN,1,20,10
371,WAS,PHI,1,20,SHOTGUN,0,20,10
373,WAS,PHI,2,8,SHOTGUN,1,20,10
375,PHI,WAS,4,4,SHOTGUN,1,2,11
376,PHI,WAS,3,4,SHOTGUN,1,2,11
377,PHI,WAS,2,4,SHOTGUN,1,2,11
378,PHI,WAS,1,5,SHOTGUN,0,2,11
379,PHI,WAS,3,1,UNDER CENTER,0,2,11
380,PHI,WAS,2,4,SHOTGUN,0,2,11
381,PHI,WAS,1,10,SHOTGUN,0,2,11
383,PHI,WAS,3,7,SHOTGUN,1,2,11
385,PHI,WAS,1,10,SHOTGUN,1,2,11
386,PHI,WAS,3,2,SHOTGUN,0,2,11
389,WAS,PHI,2,10,SHOTGUN,1,20,10
390,WAS,PHI,1,10,SHOTGUN,1,20,10
391,WAS,PHI,2,4,SHOTGUN,1,20,10
393,WAS,PHI,1,10,SHOTGUN,1,20,10
395,WAS,PHI,2,4,NO HUDDLE SHOTGUN,1,20,10
396,WAS,PHI,1,10,SHOTGUN,1,20,10
400,HOU,TEN,3,8,SHOTGUN,1,22,18
402,HOU,TEN,2,10,SHOTGUN,1,22,18
404,HOU,TEN,1,10,SHOTGUN,1,22,18
405,HOU,TEN,2,7,SHOTGUN,1,22,18
406,WAS,SF,1,10,SHOTGUN,0,7,7
407,WAS,SF,2,7,UNDER CENTER,0,7,7
409,IND,LV,1,10,SHOTGUN,1,27,23
410,IND,LV,2,10,SHOTGUN,1,27,23
411,IND,LV,3,10,SHOTGUN,0,27,23
413,LAC,ATL,2,2,UNDER CENTER,0,29,15
414,LAC,ATL,1,10,UNDER CENTER,0,29,15
415,CLE,BAL,1,10,UNDER CENTER,0,4,26
416,CLE,BAL,2,7,SHOTGUN,1,4,26
417,CLE,BAL,1,10,SHOTGUN,0,4,26
418,CLE,BAL,2,4,SHOTGUN,1,4,26
419,CLE,BAL,1,10,UNDER CENTER,0,4,26
420,CLE,BAL,1,6,UNDER CENTER,0,4,26
422,DEN,BUF,1,10,SHOTGUN,0,10,24
424,BUF,DEN,1,11,UNDER CENTER,0,15,29
426,BAL,CLE,1,10,SHOTGUN,0,18,12
427,LV,LAC,1,10,SHOTGUN,0,14,20
428,LAC,LV,2,10,SHOTGUN,1,27,23
429,LAC,LV,3,1,SHOTGUN,0,27,23
430,LV,LAC,2,4,SHOTGUN,0,14,20
431,LV,LAC,3,1,UNDER CENTER,0,14,20
433,LV,LAC,1,10,UNDER CENTER,0,14,20
435,DEN,BUF,1,10,NO HUDDLE SHOTGUN,0,10,24
436,DET,TEN,1,10,SHOTGUN,0,22,18
437,DET,TEN,2,6,SHOTGUN,1,22,18
438,DET,TEN,3,6,SHOTGUN,1,22,18
439,TEN,DET,1,10,SHOTGUN,1,32,14
440,TEN,DET,2,10,SHOTGUN,1,32,14
441,TEN,DET,3,10,SHOTGUN,1,32,14
442,TEN,DET,3,4,SHOTGUN,1,32,14
443,TEN,DET,1,10,UNDER CENTER,0,32,14
445,HOU,IND,1,10,SHOTGUN,0,16,2
446,MIA,NE,1,10,SHOTGUN,0,24,17
447,MIA,NE,2,3,SHOTGUN,0,24,17
448,MIA,NE,3,1,SHOTGUN,0,24,17
449,MIA,NE,1,10,SHOTGUN,1,24,17
450,MIA,NE,2,7,SHOTGUN,0,24,17
451,MIA,NE,1,10,SHOTGUN,1,24,17
453,MIA,NE,2,1,SHOTGUN,0,24,17
454,MIA,NE,1,10,NO HUDDLE SHOTGUN,0,24,17
455,MIA,NE,2,8,NO HUDDLE SHOTGUN,0,24,17
456,MIA,NE,3,1,NO HUDDLE SHOTGUN,0,24,17
457,HOU,IND,2,5,NO HUDDLE SHOTGUN,1,16,2
458,LA,NYJ,1,10,SHOTGUN,1,23,6
459,LA,NYJ,2,4,NO HUDDLE SHOTGUN,1,23,6
460,LA,NYJ,1,10,SHOTGUN,1,23,6
461,NYJ,LA,1,10,UNDER CENTER,0,1,3
462,LA,NYJ,1,10,UNDER CENTER,0,23,6
464,CLE,NYG,1,5,UNDER CENTER,0,11,9
465,JAX,BAL,1,10,UNDER CENTER,0,4,26
467,BAL,JAX,1,10,SHOTGUN,0,31,27
468,BAL,JAX,2,10,SHOTGUN,1,31,27
469,BAL,JAX,1,10,SHOTGUN,0,31,27
470,BAL,JAX,2,3,SHOTGUN,0,31,27
471,CHI,MIN,1,10,SHOTGUN,0,30,22
472,CHI,MIN,2,2,UNDER CENTER,0,30,22
473,CHI,MIN,1,10,UNDER CENTER,1,30,22
474,CHI,MIN,2,1,SHOTGUN,0,30,22
475,CHI,MIN,1,10,UNDER CENTER,0,30,22
476,CHI,MIN,2,4,UNDER CENTER,1,30,22
477,CHI,MIN,3,4,SHOTGUN,1,30,22
478,CLE,NYG,3,1,UNDER CENTER,0,11,9
479,ARI,PHI,1,6,SHOTGUN,1,20,10
480,ARI,PHI,2,6,SHOTGUN,1,20,10
482,PHI,ARI,1,10,UNDER CENTER,0,8,25
483,PHI,ARI,2,20,SHOTGUN,1,8,25
484,PHI,ARI,3,20,SHOTGUN,1,8,25
486,ARI,PHI,1,10,UNDER CENTER,0,20,10
487,PHI,ARI,1,10,SHOTGUN,1,8,25
489,PHI,ARI,1,8,SHOTGUN,0,8,25
491,PHI,ARI,2,3,SHOTGUN,0,8,25
493,PHI,ARI,1,10,NO HUDDLE SHOTGUN,0,8,25
494,PHI,ARI,2,6,SHOTGUN,1,8,25
495,MIN,NO,1,10,UNDER CENTER,1,5,5
496,MIN,NO,2,3,UNDER CENTER,0,5,5
497,NO,MIN,1,10,SHOTGUN,0,30,22
498,NO,MIN,2,1,UNDER CENTER,0,30,22
499,MIN,NO,1,10,UNDER CENTER,0,5,5
502,KC,NO,1,10,UNDER CENTER,1,5,5
503,KC,NO,2,10,SHOTGUN,1,5,5
504,KC,NO,1,10,SHOTGUN,0,5,5
505,KC,NO,2,15,SHOTGUN,1,5,5
506,KC,NO,3,15,SHOTGUN,1,5,5
507,KC,NO,1,4,UNDER CENTER,0,5,5
508,CIN,PIT,1,10,SHOTGUN,0,3,13
509,CIN,PIT,2,9,SHOTGUN,0,3,13
510,HOU,TEN,1,10,SHOTGUN,0,22,18
512,HOU,TEN,2,4,UNDER CENTER,0,22,18
513,HOU,TEN,1,10,SHOTGUN,1,22,18
515,HOU,TEN,3,9,SHOTGUN,1,22,18
517,HOU,TEN,2,12,SHOTGUN,1,22,18
520,DET,MIN,1,10,SHOTGUN,1,30,22
521,DET,MIN,3,1,SHOTGUN,0,30,22
523,MIN,DET,3,16,SHOTGUN,1,32,14
525,MIN,DET,1,10,UNDER CENTER,1,32,14
529,PIT,CLE,1,10,SHOTGUN,0,18,12
531,CLE,PIT,4,7,SHOTGUN,1,3,13
533,CLE,PIT,2,8,UNDER CENTER,0,3,13
534,CLE,PIT,1,10,UNDER CENTER,0,3,13
536,HOU,TEN,2,10,UNDER CENTER,0,22,18
537,HOU,TEN,1,10,SHOTGUN,1,22,18
540,TEN,HOU,3,8,SHOTGUN,1,28,31
541,TEN,HOU,2,8,UNDER CENTER,1,28,31
542,TEN,HOU,1,10,UNDER CENTER,0,28,31
545,DEN,LV,1,5,SHOTGUN,1,27,23
548,LV,DEN,4,1,UNDER CENTER,0,15,29
550,LV,DEN,3,9,SHOTGUN,1,15,29
551,LV,DEN,2,9,SHOTGUN,1,15,29
552,LV,DEN,1,9,SHOTGUN,1,15,29
553,LV,DEN,1,10,SHOTGUN,1,15,29
554,LV,DEN,1,10,SHOTGUN,1,15,29
559,LV,DEN,2,9,NO HUDDLE SHOTGUN,1,15,29
563,LV,DEN,1,10,NO HUDDLE SHOTGUN,0,15,29
564,LV,DEN,3,4,SHOTGUN,1,15,29
565,LV,DEN,2,4,NO HUDDLE,1,15,29
567,DEN,LV,2,8,SHOTGUN,1,27,23
568,DEN,LV,1,10,SHOTGUN,0,27,23
570,DEN,LV,1,10,SHOTGUN,0,27,23
572,DEN,LV,3,1,SHOTGUN,0,27,23
573,DEN,LV,2,11,UNDER CENTER,1,27,23
575,DAL,NYG,3,1,SHOTGUN,1,11,9
578,DAL,NYG,1,10,NO HUDDLE SHOTGUN,1,11,9
579,DAL,NYG,4,2,SHOTGUN,0,11,9
581,DAL,NYG,3,7,NO HUDDLE SHOTGUN,1,11,9
582,DAL,NYG,2,10,SHOTGUN,1,11,9
583,DAL,NYG,1,10,NO HUDDLE SHOTGUN,1,11,9
584,DAL,NYG,3,1,UNDER CENTER,0,11,9
585,DAL,NYG,2,5,NO HUDDLE SHOTGUN,0,11,9
587,NYG,DAL,3,16,SHOTGUN,1,21,30
588,NE,NYJ,1,10,UNDER CENTER,0,23,6
589,NE,NYJ,2,5,NO HUDDLE SHOTGUN,1,23,6
590,NYJ,NE,3,10,SHOTGUN,1,24,17
591,NYJ,NE,2,10,SHOTGUN,1,24,17
592,NYJ,NE,1,10,SHOTGUN,1,24,17
593,NYJ,NE,2,1,UNDER CENTER,0,24,17
600,LAC,KC,2,5,UNDER CENTER,0,19,19
601,LAC,KC,1,10,UNDER CENTER,0,19,19
602,LAC,KC,2,12,UNDER CENTER,1,19,19
603,LAC,KC,1,10,UNDER CENTER,0,19,19
610,TEN,HOU,1,10,UNDER CENTER,0,28,31
613,HOU,TEN,3,10,SHOTGUN,1,22,18
614,HOU,TEN,2,10,SHOTGUN,1,22,18
615,HOU,TEN,1,10,SHOTGUN,1,22,18
616,BUF,MIA,2,2,NO HUDDLE SHOTGUN,1,25,16
617,BUF,MIA,1,10,SHOTGUN,1,25,16
621,CLE,PIT,1,10,UNDER CENTER,0,3,13
626,CIN,BAL,1,1,UNDER CENTER,1,4,26
629,BAL,CIN,2,6,SHOTGUN,0,26,31
630,BAL,CIN,1,10,SHOTGUN,0,26,31
631,BAL,CIN,3,6,SHOTGUN,0,26,31
632,BAL,CIN,2,10,SHOTGUN,0,26,31
634,BAL,CIN,2,1,SHOTGUN,0,26,31
635,BAL,CIN,1,10,SHOTGUN,1,26,31
640,TEN,GB,2,10,SHOTGUN,1,9,21
641,TEN,GB,1,10,SHOTGUN,1,9,21
642,GB,TEN,4,1,SHOTGUN,0,22,18
643,GB,TEN,3,1,UNDER CENTER,0,22,18
645,GB,TEN,1,10,UNDER CENTER,1,22,18
646,GB,TEN,3,3,UNDER CENTER,0,22,18
647,GB,TEN,1,7,UNDER CENTER,1,22,18
648,GB,TEN,3,3,SHOTGUN,0,22,18
649,GB,TEN,2,4,SHOTGUN,0,22,18
650,GB,TEN,1,10,SHOTGUN,1,22,18
651,GB,TEN,2,10,SHOTGUN,0,22,18
653,TEN,GB,3,7,SHOTGUN,1,9,21
656,TEN,HOU,2,5,SHOTGUN,0,28,31
657,TEN,HOU,1,5,SHOTGUN,1,28,31
660,TEN,HOU,3,2,SHOTGUN,0,28,31
661,TEN,HOU,2,13,SHOTGUN,1,28,31
662,TEN,HOU,1,13,UNDER CENTER,1,28,31
664,TEN,HOU,2,6,SHOTGUN,0,28,31
665,TEN,HOU,1,10,UNDER CENTER,0,28,31
666,TEN,HOU,3,4,SHOTGUN,1,28,31
667,TEN,HOU,2,9,SHOTGUN,1,28,31
668,TEN,HOU,1,10,UNDER CENTER,0,28,31
670,HOU,TEN,2,3,SHOTGUN,1,22,18
671,HOU,TEN,1,10,SHOTGUN,1,22,18
672,HOU,TEN,3,3,SHOTGUN,1,22,18
673,HOU,TEN,2,6,SHOTGUN,0,22,18
674,HOU,TEN,1,10,SHOTGUN,1,22,18
676,TEN,HOU,3,11,SHOTGUN,1,28,31
677,TEN,HOU,2,11,UNDER CENTER,1,28,31
678,TEN,HOU,1,10,UNDER CENTER,0,28,31
679,TEN,HOU,2,4,UNDER CENTER,0,28,31
680,TEN,HOU,1,10,UNDER CENTER,0,28,31
682,HOU,TEN,2,1,SHOTGUN,0,22,18
684,ATL,TB,3,17,SHOTGUN,1,6,1
687,TB,ATL,3,4,NO HUDDLE SHOTGUN,1,29,15
688,TB,ATL,2,10,SHOTGUN,1,29,15
690,TB,ATL,2,10,SHOTGUN,1,29,15
691,TB,ATL,1,10,NO HUDDLE SHOTGUN,1,29,15
692,TB,ATL,1,10,SHOTGUN,1,29,15
694,TB,ATL,2,8,SHOTGUN,1,29,15
696,ATL,TB,2,1,UNDER CENTER,0,6,1
698,ATL,TB,1,1,UNDER CENTER,0,6,1
699,ATL,TB,4,4,SHOTGUN,1,6,1
700,ATL,TB,3,4,SHOTGUN,1,6,1
702,TB,ATL,3,13,SHOTGUN,1,29,15
703,TB,ATL,2,10,UNDER CENTER,0,29,15
704,TB,ATL,1,10,UNDER CENTER,1,29,15
705,TB,ATL,2,8,SHOTGUN,1,29,15
706,TB,ATL,1,10,UNDER CENTER,0,29,15
708,TB,ATL,3,10,SHOTGUN,1,29,15
710,TB,ATL,2,10,SHOTGUN,1,29,15
711,TB,ATL,1,10,UNDER CENTER,1,29,15
712,TB,ATL,2,3,UNDER CENTER,0,29,15
713,TB,ATL,1,10,UNDER CENTER,0,29,15
715,ATL,TB,1,4,UNDER CENTER,0,6,1
716,ATL,TB,1,10,UNDER CENTER,1,6,1
717,ATL,TB,3,3,SHOTGUN,0,6,1
718,ATL,TB,2,3,UNDER CENTER,0,6,1
719,ATL,TB,1,10,UNDER CENTER,1,6,1
721,TB,ATL,2,5,UNDER CENTER,1,29,15
722,TB,ATL,1,10,UNDER CENTER,0,29,15
723,TB,ATL,1,10,UNDER CENTER,1,29,15
724,TB,ATL,3,1,UNDER CENTER,0,29,15
726,IND,JAX,1,10,UNDER CENTER,0,31,27
728,IND,JAX,1,10,SHOTGUN,1,31,27
729,IND,JAX,1,1,UNDER CENTER,0,31,27
730,IND,JAX,2,9,SHOTGUN,0,31,27
731,IND,JAX,1,10,UNDER CENTER,0,31,27
732,DEN,LV,1,10,UNDER CENTER,1,27,23
734,DEN,LV,3,9,SHOTGUN,1,27,23
735,DEN,LV,2,9,SHOTGUN,1,27,23
736,DEN,LV,1,10,UNDER CENTER,0,27,23
737,DEN,LV,2,8,SHOTGUN,1,27,23
738,DEN,LV,1,10,UNDER CENTER,0,27,23
741,LV,DEN,3,15,SHOTGUN,1,15,29
744,LV,DEN,2,10,SHOTGUN,1,15,29
745,LV,DEN,1,10,NO HUDDLE SHOTGUN,1,15,29
